timestamp,X,Y,Z
'19-Feb-2023 23:31:19.710',2.823959,-11.780701,-1.451889
'19-Feb-2023 23:31:19.730',2.177536,-10.90921,-1.111923
'19-Feb-2023 23:31:19.750',1.748978,-9.867722,-1.676956
'19-Feb-2023 23:31:19.770',1.70108,-8.857376,-1.894821
'19-Feb-2023 23:31:19.790',1.432938,-7.942795,-2.031296
'19-Feb-2023 23:31:19.810',0.963669,-7.617172,-2.052841
'19-Feb-2023 23:31:19.830',0.355545,-7.356216,-1.760742
'19-Feb-2023 23:31:19.850',0.154434,-6.891739,-1.590759
'19-Feb-2023 23:31:19.870',0.384277,-6.429657,-1.882858
'19-Feb-2023 23:31:19.890',0.559052,-6.448807,-2.129456
'19-Feb-2023 23:31:19.910',0.527924,-6.93483,-2.311417
'19-Feb-2023 23:31:19.930',0.726639,-7.583664,-2.91954
'19-Feb-2023 23:31:19.950',1.538284,-7.732101,-4.142975
'19-Feb-2023 23:31:19.970',2.850296,-7.801529,-5.859619
'19-Feb-2023 23:31:19.990',3.372238,-8.368958,-7.731888
'19-Feb-2023 23:31:20.010',3.822342,-9.78154,-8.584229
'19-Feb-2023 23:31:20.030',4.607651,-11.083984,-7.166855
'19-Feb-2023 23:31:20.050',4.526245,-11.876465,-5.598648
'19-Feb-2023 23:31:20.070',4.480759,-10.320236,-6.190018
'19-Feb-2023 23:31:20.090',4.569336,-9.618729,-7.004044
'19-Feb-2023 23:31:20.110',3.369843,-12.661758,-3.525269
'19-Feb-2023 23:31:20.130',-0.647629,-13.57634,1.739578
'19-Feb-2023 23:31:20.150',-2.888596,-12.072784,2.737961
'19-Feb-2023 23:31:20.170',-2.7258,-8.493454,-2.297043
'19-Feb-2023 23:31:20.190',2.17514,-8.553314,-4.564362
'19-Feb-2023 23:31:20.210',3.230988,-8.845398,-0.443939
'19-Feb-2023 23:31:20.230',3.209427,-9.551697,4.729935
'19-Feb-2023 23:31:20.250',1.677139,-9.261993,3.508896
'19-Feb-2023 23:31:20.270',1.078598,-8.510223,-1.351334
'19-Feb-2023 23:31:20.290',2.680313,-9.333817,-1.942703
'19-Feb-2023 23:31:20.310',3.060989,-9.968292,-0.149445
'19-Feb-2023 23:31:20.330',2.35231,-10.016174,0.635849
'19-Feb-2023 23:31:20.350',1.665176,-9.312271,-0.017776
'19-Feb-2023 23:31:20.370',1.073807,-8.883713,-0.767151
'19-Feb-2023 23:31:20.390',1.332382,-8.838226,-0.436752
'19-Feb-2023 23:31:20.410',2.495956,-9.305084,1.117081
'19-Feb-2023 23:31:20.430',2.874252,-9.20932,1.959839
'19-Feb-2023 23:31:20.450',2.39061,-8.639496,1.062012
'19-Feb-2023 23:31:20.470',1.959656,-8.433609,-0.611526
'19-Feb-2023 23:31:20.490',1.262955,-9.154251,-0.874893
'19-Feb-2023 23:31:20.510',1.191116,-9.769562,0.518539
'19-Feb-2023 23:31:20.530',1.765732,-10.229248,1.435516
'19-Feb-2023 23:31:20.550',2.486389,-10.600357,-0.264374
'19-Feb-2023 23:31:20.570',2.771301,-10.959488,-1.770325
'19-Feb-2023 23:31:20.590',1.808823,-11.567612,0.451492
'19-Feb-2023 23:31:20.610',1.349136,-11.476639,1.516907
'19-Feb-2023 23:31:20.630',2.776077,-10.959488,-0.372116
'19-Feb-2023 23:31:20.650',3.460831,-10.739212,-0.834198
'19-Feb-2023 23:31:20.670',2.835938,-10.382477,-0.273956
'19-Feb-2023 23:31:20.690',2.898193,-10.650635,0.918365
'19-Feb-2023 23:31:20.710',3.04184,-11.402405,1.272705
'19-Feb-2023 23:31:20.730',2.428925,-11.476639,-0.489426
'19-Feb-2023 23:31:20.750',1.677139,-10.949905,1.018921
'19-Feb-2023 23:31:20.770',1.344345,-9.384094,-1.066437
'19-Feb-2023 23:31:20.790',2.527084,-9.491837,-0.985031
'19-Feb-2023 23:31:20.810',3.355484,-10.78949,1.674927
'19-Feb-2023 23:31:20.830',2.443283,-11.318619,1.423538
'19-Feb-2023 23:31:20.850',0.398636,-11.220459,-0.036926
'19-Feb-2023 23:31:20.870',-0.405807,-11.938721,-0.764755
'19-Feb-2023 23:31:20.890',-0.025131,-12.132645,-1.241211
'19-Feb-2023 23:31:20.910',1.531097,-11.148621,-1.423172
'19-Feb-2023 23:31:20.930',2.151199,-10.011383,-1.686523
'19-Feb-2023 23:31:20.950',2.261322,-9.578033,-1.27951
'19-Feb-2023 23:31:20.970',2.728195,-9.245239,-1.336975
'19-Feb-2023 23:31:20.990',2.057816,-8.218124,-1.758347
'19-Feb-2023 23:31:21.010',0.688339,-7.341843,-1.490204
'19-Feb-2023 23:31:21.030',0.247803,-6.795975,-0.963486
'19-Feb-2023 23:31:21.050',0.147247,-6.700195,-0.716873
'19-Feb-2023 23:31:21.070',0.23584,-6.59964,-1.095154
'19-Feb-2023 23:31:21.090',0.05867,-6.587677,-1.621887
'19-Feb-2023 23:31:21.110',0.005997,-7.095245,-1.803848
'19-Feb-2023 23:31:21.130',0.705093,-7.724915,-3.000946
'19-Feb-2023 23:31:21.150',2.263718,-8.215729,-5.471756
'19-Feb-2023 23:31:21.169',3.017899,-9.127914,-6.73111
'19-Feb-2023 23:31:21.190',2.94368,-10.566833,-8.201157
'19-Feb-2023 23:31:21.210',5.062546,-11.57959,-9.731049
'19-Feb-2023 23:31:21.230',6.659485,-12.357697,-5.955383
'19-Feb-2023 23:31:21.250',5.919662,-10.540497,-5.692032
'19-Feb-2023 23:31:21.270',7.001846,-9.757599,-8.241852
'19-Feb-2023 23:31:21.290',5.625183,-12.96582,-1.887634
'19-Feb-2023 23:31:21.310',-0.357925,-13.262711,5.555939
'19-Feb-2023 23:31:21.330',-6.16626,-10.566833,3.003708
'19-Feb-2023 23:31:21.350',-1.574188,-7.911667,-2.787857
'19-Feb-2023 23:31:21.370',3.891785,-8.277985,-1.145432
'19-Feb-2023 23:31:21.390',3.238159,-8.823853,2.390793
'19-Feb-2023 23:31:21.410',0.099365,-8.658661,2.881607
'19-Feb-2023 23:31:21.430',-1.559814,-8.601196,-1.205292
'19-Feb-2023 23:31:21.450',1.856705,-9.841385,-0.719269
'19-Feb-2023 23:31:21.470',3.377029,-9.738449,-0.441544
'19-Feb-2023 23:31:21.490',3.106476,-9.408035,0.40361
'19-Feb-2023 23:31:21.510',2.127258,-9.630707,1.105118
'19-Feb-2023 23:31:21.530',1.114502,-9.573242,0.063629
'19-Feb-2023 23:31:21.550',0.966064,-9.075241,-0.597168
'19-Feb-2023 23:31:21.570',1.595749,-9.029755,0.573593
'19-Feb-2023 23:31:21.590',2.280487,-9.223694,2.163345
